label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,428,1962,370,630,Parking_auto_x2.jpg,2300,2758
car,1104,760,294,530,Parking_auto_x2.jpg,2300,2758
car,933,1946,317,668,Parking_auto_x2.jpg,2300,2758
car,1447,883,300,373,Parking_auto_x2.jpg,2300,2758
car,233,586,273,361,Parking_auto_x2.jpg,2300,2758
car,1366,2000,384,716,Parking_auto_x2.jpg,2300,2758
car,1852,1941,436,792,Parking_auto_x2.jpg,2300,2758
car,0,1899,330,695,Parking_auto_x2.jpg,2300,2758
car,0,499,204,388,Parking_auto_x2.jpg,2300,2758
car,389,834,346,485,Parking_auto_x2.jpg,2300,2758
car,762,869,265,412,Parking_auto_x2.jpg,2300,2758
car,570,503,272,405,Parking_auto_x2.jpg,2300,2758
car,1126,3,206,279,Parking_auto_x2.jpg,2300,2758
car,1691,63,206,223,Parking_auto_x2.jpg,2300,2758
car,1541,569,265,381,Parking_auto_x2.jpg,2300,2758
car,1862,943,286,367,Parking_auto_x2.jpg,2300,2758
car,2155,915,145,398,Parking_auto_x2.jpg,2300,2758
car,2197,559,103,377,Parking_auto_x2.jpg,2300,2758
parking_space,26,929,293,405,Parking_auto_x2.jpg,2300,2758
parking_space,1356,143,269,178,Parking_auto_x2.jpg,2300,2758
parking_space,1915,154,251,171,Parking_auto_x2.jpg,2300,2758
parking_space,822,119,276,189,Parking_auto_x2.jpg,2300,2758
parking_space,563,119,290,178,Parking_auto_x2.jpg,2300,2758
parking_space,312,119,283,178,Parking_auto_x2.jpg,2300,2758
parking_space,22,108,300,178,Parking_auto_x2.jpg,2300,2758
parking_space,852,628,328,304,Parking_auto_x2.jpg,2300,2758
parking_space,1215,642,304,304,Parking_auto_x2.jpg,2300,2758
parking_space,1840,663,374,276,Parking_auto_x2.jpg,2300,2758
parking_space,2192,150,108,178,Parking_auto_x2.jpg,2300,2758